season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count,gross_premium
kharif,WBCIS,Kerala,Thrissur,0.21,107.62,2.61,4.78,4.78,61,12.17
kharif,WBCIS,Kerala,Wayanad,0.48,326.41,16.2,9.26,9.26,25,34.72
kharif,PMFBY,Madhya Pradesh,Agar Malwa,135.97,65255.52,1305.11,5871.37,5871.37,239,13047.85
kharif,PMFBY,Madhya Pradesh,Alirajpur,31.95,9178.08,197.98,158.79,158.79,219,515.56
kharif,PMFBY,Madhya Pradesh,Anuppur,20.38,4280.34,85.61,318.15,318.15,272,721.91
kharif,PMFBY,Madhya Pradesh,Ashoknagar,119.57,38080.55,761.61,804.22,804.22,318,2370.05
kharif,PMFBY,Madhya Pradesh,Balaghat,110.23,37940.78,758.82,489.44,489.44,684,1737.7
kharif,PMFBY,Madhya Pradesh,Barwani,61.61,21352.03,657.61,392.44,392.44,315,1442.49
kharif,PMFBY,Madhya Pradesh,Betul,230.99,77553.06,1551.06,6963.84,6963.84,570,15478.74
kharif,PMFBY,Madhya Pradesh,Bhind,32.21,4918.59,98.37,32.6,32.6,211,163.57
kharif,PMFBY,Madhya Pradesh,Bhopal,111.18,36709.24,734.18,3218.37,3218.37,191,7170.92
kharif,PMFBY,Madhya Pradesh,Burhanpur,7.61,3421.32,92.78,54.51,54.51,64,201.8
kharif,PMFBY,Madhya Pradesh,Chhatarpur,69.56,18085.39,361.71,471.46,471.46,139,1304.63
kharif,PMFBY,Madhya Pradesh,Chhindwara,105.19,27795.76,681.1,2560.71,2560.71,718,5802.52
kharif,PMFBY,Madhya Pradesh,Damoh,111.83,27227.04,544.54,1518.98,1518.98,388,3582.5
kharif,PMFBY,Madhya Pradesh,Datia,61.87,24237.97,484.76,335.15,335.15,88,1155.06
kharif,PMFBY,Madhya Pradesh,Dewas,438.99,139984.24,2802.93,12522.35,12522.35,518,27847.63
kharif,PMFBY,Madhya Pradesh,Dhar,268.14,88263.44,1865.53,3545.09,3545.09,657,8955.71
kharif,PMFBY,Madhya Pradesh,Dindori,14.73,3560.1,71.2,193.4,193.4,342,458
kharif,PMFBY,Madhya Pradesh,Guna,155.45,51094.51,1021.89,3413.22,3413.22,435,7848.33
